id,immagine,data_avvistamento,image_url,latitude,longitude,nome_classe,nome_scientifico,nome_comune,nome_famiglia,luogo,nome_breve
80118188,80118188.jpg,22-May-2021,https://static.inaturalist.org/photos/131285217/medium.jpeg,45.52213691,12.27780362,Uccelli,Columba palumbus,Colombaccio,Columbidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
64175490,64175490.jpg,28-Oct-2020,https://static.inaturalist.org/photos/103131098/medium.jpg,45.52369352,12.28849863,Insetti,Conocephalus fuscus,Conocephalus fuscus,Tettigoniidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
62581032,62581032.jpg,9-Oct-2020,https://static.inaturalist.org/photos/100291441/medium.jpg,45.52139342,12.28746844,Funghi,Coprinus comatus,Fungo dell'inchiostro,Coprinaceae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
63347340,63347340.jpg,21-Oct-2020,https://static.inaturalist.org/photos/101646533/medium.jpg,45.5227343,12.2817204,Insetti,Coreus marginatus,Coreide Marginato,Coreidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
79050618,79050618.jpg,15-May-2021,https://static.inaturalist.org/photos/129433310/medium.jpg,45.52060257,12.28767159,Insetti,Coreus marginatus,Coreide Marginato,Coreidae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
80134168,80134168.jpg,22-May-2021,https://static.inaturalist.org/photos/131312045/medium.jpeg,45.52213691,12.27780362,Piante,Coriandrum sativum,Coriandolo,Apiaceae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
21413112,21413112.jpg,18-Mar-2016,https://static.inaturalist.org/photos/33127989/medium.jpeg,45.52228747,12.28622485,Piante,Cornus mas,Corniolo,Cornaceae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
90550247,90550247.jpg,9-Aug-2021,https://static.inaturalist.org/photos/149665214/medium.jpg,45.51992833,12.291005,Piante,Cornus mas,Corniolo,Cornaceae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
27854670,27854670.jpg,24-Jun-2019,https://static.inaturalist.org/photos/43382724/medium.jpeg,45.52027171,12.28865728,Piante,Corylus avellana,Nocciolo,Betulaceae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
78481127,78481127.jpg,10-May-2021,https://static.inaturalist.org/photos/128443452/medium.jpeg,45.52592081,12.28818158,Piante,Corylus avellana,Nocciolo,Betulaceae,BOSCO DI FRANCA E OTTOLENGHI,ottolenghi
